# Competition T4: 30 dense overlapping semi-transparent Gaussians
# Tests alpha blending and overlapping region handling
# Format: x  y  sigma  alpha  r  g  b

# Central dense cluster
0.42 0.40 0.060 0.35 0.95 0.30 0.20
0.48 0.42 0.055 0.30 0.90 0.50 0.25
0.45 0.48 0.050 0.40 0.85 0.35 0.30
0.50 0.45 0.065 0.25 0.80 0.60 0.20
0.44 0.44 0.045 0.35 0.95 0.40 0.15
0.52 0.38 0.058 0.30 0.88 0.45 0.28
0.46 0.52 0.048 0.40 0.92 0.55 0.22
0.40 0.46 0.062 0.28 0.85 0.38 0.32
0.54 0.50 0.052 0.32 0.90 0.42 0.18
0.38 0.42 0.056 0.36 0.88 0.48 0.26

# Upper-right group
0.72 0.18 0.040 0.45 0.20 0.40 0.95
0.76 0.22 0.035 0.40 0.25 0.50 0.90
0.70 0.24 0.042 0.38 0.18 0.45 0.88
0.74 0.16 0.038 0.42 0.22 0.55 0.92
0.78 0.20 0.036 0.35 0.28 0.48 0.85
0.68 0.20 0.044 0.40 0.15 0.42 0.95
0.73 0.26 0.032 0.38 0.30 0.52 0.88

# Lower-left group
0.18 0.72 0.045 0.42 0.20 0.90 0.35
0.22 0.76 0.040 0.38 0.25 0.85 0.40
0.16 0.78 0.048 0.35 0.18 0.92 0.30
0.24 0.74 0.038 0.40 0.22 0.88 0.38
0.20 0.70 0.042 0.36 0.28 0.86 0.42
0.14 0.74 0.046 0.32 0.20 0.90 0.28

# Scattered singles
0.88 0.88 0.030 0.50 0.95 0.95 0.20
0.10 0.10 0.035 0.50 0.95 0.20 0.90
0.85 0.55 0.028 0.48 0.60 0.30 0.95
0.15 0.45 0.032 0.45 0.30 0.95 0.60
0.55 0.85 0.030 0.50 0.95 0.60 0.30
0.60 0.12 0.026 0.52 0.40 0.80 0.80
0.30 0.15 0.034 0.46 0.80 0.80 0.40
0.80 0.42 0.029 0.44 0.70 0.25 0.70
