# T2: Spiral galaxy with 300 Gaussians
# Dense core + 4 spiral arms + globular clusters + field stars
# Format: x y sigma r g b

0.5165 0.4726 0.0090 0.0450 0.9057 0.5474
0.4917 0.5069 0.0241 0.6766 0.0062 0.8172
0.4009 0.5240 0.0147 0.7224 0.0008 0.7771
0.4431 0.5067 0.0241 0.2236 0.2754 0.9990
0.4724 0.5029 0.0173 0.0147 0.8453 0.6378
0.4270 0.4672 0.0194 0.4770 0.9450 0.0786
0.5294 0.5058 0.0207 0.0064 0.8143 0.6769
0.4577 0.4814 0.0241 0.0548 0.9185 0.5249
0.4918 0.5325 0.0132 0.0025 0.7033 0.7917
0.4763 0.4765 0.0088 0.6663 0.0081 0.8256
0.6062 0.4746 0.0206 0.3515 0.1592 0.9879
0.4636 0.5007 0.0174 0.7650 0.0004 0.7353
0.5421 0.4938 0.0086 0.9885 0.3503 0.1637
0.5108 0.4387 0.0164 0.1775 0.9917 0.3298
0.4994 0.5452 0.0108 0.2905 0.2098 0.9980
0.5040 0.5012 0.0154 0.9997 0.2665 0.2363
0.5242 0.4841 0.0198 0.1482 0.9830 0.3677
0.4833 0.5660 0.0088 0.0167 0.8509 0.6303
0.4728 0.5089 0.0120 0.9272 0.0625 0.5119
0.4997 0.5184 0.0210 0.0648 0.5022 0.9305
0.4810 0.5014 0.0109 0.0777 0.4771 0.9427
0.5319 0.4926 0.0199 0.9864 0.1580 0.3578
0.5303 0.5671 0.0085 0.3398 0.1683 0.9904
0.3812 0.4961 0.0164 0.9256 0.0610 0.5150
0.4983 0.5195 0.0192 0.1414 0.3754 0.9809
0.5295 0.4765 0.0229 0.0301 0.5848 0.8825
0.5410 0.5424 0.0239 0.1386 0.3794 0.9798
0.5978 0.4842 0.0208 0.7527 0.7492 0.0000
0.6020 0.4101 0.0126 0.9868 0.1594 0.3559
0.4477 0.4816 0.0218 0.9153 0.5357 0.0515
0.5362 0.5211 0.0186 0.9244 0.0599 0.5173
0.4689 0.4971 0.0231 0.0000 0.7509 0.7466
0.5316 0.4986 0.0083 0.4805 0.0759 0.9427
0.5052 0.5019 0.0236 0.0410 0.8999 0.5572
0.4836 0.5744 0.0086 0.9011 0.0418 0.5586
0.5026 0.5058 0.0199 0.5290 0.0522 0.9181
0.4746 0.4738 0.0237 0.6507 0.0113 0.8379
0.4200 0.4967 0.0162 0.7475 0.7544 0.0000
0.4870 0.4658 0.0103 0.9750 0.3998 0.1277
0.5029 0.5006 0.0240 0.9803 0.3823 0.1399
0.4457 0.5254 0.0165 0.2325 0.9995 0.2674
0.6929 0.6085 0.0232 0.5108 0.0606 0.9278
0.3724 0.5615 0.0201 0.0657 0.9307 0.5019
0.6180 0.4405 0.0109 0.0367 0.5668 0.8940
0.4850 0.5202 0.0238 0.7917 0.0027 0.7064
0.4534 0.4914 0.0096 0.0080 0.8215 0.6683
0.4895 0.5256 0.0217 0.5498 0.9072 0.0440
0.5817 0.4921 0.0233 0.7478 0.7541 0.0000
0.5707 0.4771 0.0232 0.8306 0.6616 0.0100
0.5126 0.4794 0.0190 0.4717 0.9474 0.0815
0.5877 0.4495 0.0200 0.3548 0.1567 0.9871
0.4457 0.5976 0.0221 0.5218 0.0555 0.9220
0.4990 0.4419 0.0142 0.7497 0.0000 0.7509
0.5125 0.5130 0.0232 0.8946 0.0376 0.5692
0.5320 0.5360 0.0191 0.7933 0.7060 0.0027
0.4968 0.5237 0.0248 0.8361 0.0118 0.6531
0.5011 0.4992 0.0109 0.2543 1.0000 0.2452
0.5027 0.4762 0.0245 0.0001 0.7545 0.7430
0.5009 0.5237 0.0248 0.0002 0.7349 0.7624
0.5104 0.5254 0.0225 0.8828 0.5893 0.0303
0.5474 0.5009 0.0109 0.5000 0.9341 0.0667
0.5296 0.5006 0.0137 0.5241 0.9216 0.0551
0.5656 0.5133 0.0124 0.5482 0.9082 0.0446
0.5746 0.5207 0.0146 0.5722 0.8937 0.0352
0.6151 0.5306 0.0131 0.5960 0.8784 0.0268
0.6235 0.5518 0.0290 0.6196 0.8622 0.0196
0.5913 0.5609 0.0166 0.6429 0.8451 0.0135
0.6059 0.5493 0.0215 0.6659 0.8272 0.0085
0.6219 0.5788 0.0294 0.6885 0.8086 0.0046
0.6191 0.5877 0.0111 0.7106 0.7892 0.0019
0.6208 0.6040 0.0297 0.7323 0.7692 0.0004
0.6117 0.6198 0.0116 0.7534 0.7485 0.0000
0.6023 0.6542 0.0239 0.7739 0.7273 0.0008
0.5894 0.6325 0.0107 0.7938 0.7055 0.0028
0.6068 0.6384 0.0192 0.8130 0.6833 0.0059
0.5759 0.6986 0.0296 0.8314 0.6606 0.0102
0.5678 0.7065 0.0120 0.8491 0.6375 0.0156
0.5647 0.7077 0.0284 0.8660 0.6142 0.0222
0.5313 0.7107 0.0170 0.8820 0.5905 0.0298
0.5323 0.6878 0.0276 0.8971 0.5667 0.0386
0.5261 0.7247 0.0198 0.9114 0.5427 0.0484
0.4909 0.7416 0.0265 0.9246 0.5186 0.0593
0.4788 0.7531 0.0283 0.9369 0.4944 0.0712
0.4878 0.8115 0.0144 0.9481 0.4703 0.0842
0.4191 0.7899 0.0225 0.9583 0.4462 0.0981
0.4324 0.8126 0.0218 0.9674 0.4223 0.1129
0.3763 0.7688 0.0153 0.9754 0.3985 0.1286
0.3683 0.7556 0.0216 0.9824 0.3750 0.1452
0.2647 0.7676 0.0159 0.9881 0.3518 0.1626
0.2565 0.7911 0.0244 0.9928 0.3289 0.1809
0.3282 0.7413 0.0105 0.9963 0.3064 0.1998
0.2615 0.7500 0.0277 0.9987 0.2843 0.2195
0.1940 0.7372 0.0268 0.9998 0.2628 0.2398
0.2061 0.7334 0.0112 0.9999 0.2418 0.2607
