# Competition T3: 15 sparse colorful Gaussians
# A simple scene — well-separated, no overlap
# Format: x  y  sigma  r  g  b

0.12 0.10 0.025 0.95 0.20 0.15
0.35 0.08 0.020 0.18 0.88 0.30
0.58 0.14 0.022 0.25 0.35 0.95
0.82 0.11 0.018 0.92 0.85 0.20
0.20 0.32 0.024 0.85 0.25 0.85
0.50 0.35 0.019 0.30 0.90 0.88
0.75 0.30 0.023 0.95 0.55 0.20
0.10 0.55 0.021 0.20 0.75 0.40
0.40 0.58 0.020 0.90 0.40 0.60
0.65 0.52 0.026 0.50 0.92 0.25
0.88 0.56 0.017 0.70 0.30 0.95
0.25 0.80 0.022 0.95 0.70 0.70
0.50 0.82 0.019 0.40 0.60 0.95
0.72 0.78 0.024 0.25 0.95 0.60
0.90 0.85 0.020 0.90 0.90 0.90
